Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE18684	Fine mapping of androgen regulated genes in LNCaP cells	Expression profiling by array	Homo sapiens	96	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18684/suppl	21602788;21724752	NA	Charlie Edward Massie	Sep 01, 2010
GSE13898	Robust prognostic biomarkers for EAC identified by systems-level characterization of tumor transcriptome	Expression profiling by array	Homo sapiens	118	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13898/suppl	21152079	NA	Sangbae Kim	Jan 04, 2011
GSE25913	Gene expression profiling of the classical (CD14++CD16-), intermediate (CD14++CD16+) and nonclassical (CD14+CD16+) human monocyte subsets	Expression profiling by array	Homo sapiens	24	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25913/suppl	21653326	NA	Kok Loon Wong	May 01, 2011
GSE47063	5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer [ExpressionArray]	Expression profiling by array	Homo sapiens	25	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47063/suppl	25853800	NA	Chandra Chilamakuri	Feb 03, 2015
GSE14426	Change in expression of genes after retinoic acid treatment of stellate cells: time course	Expression profiling by array	Homo sapiens	30	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14426/suppl	21704588	NA	Hemant Kocher	Dec 30, 2011
GSE19274	Expression profiling in Neuroblastoma Primary tumors and Cell lines	Expression profiling by array	Homo sapiens	138	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19274/suppl	21289283	NA	Jayanti Jagannathan	Dec 03, 2009
GSE30208	Genome-wide expression kinetics of children with T1D-associated autoantibodies compared to healthy matched controls I	Expression profiling by array	Homo sapiens	63	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30208/suppl	24550192;29119244	NA	Henna Kallionpää	Feb 20, 2014
GSE20158	Differential expression of genes after over expression of miR-23a~27a~24-2 cluster in human embryonic kidney cells	Expression profiling by array	Homo sapiens	6	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20158/suppl	21593605	NA	Neeru Saini	Jul 02, 2010
GSE20573	Specification of functional floor plate tissue from human embryonic stem cells occurs at the expense of anterior neurectoderm	Expression profiling by array	Homo sapiens	30	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20573/suppl	20362538	NA	Stuart M Chambers	Apr 12, 2010
GSE60102	Vitamin D receptor (VDR) target genes in THP-1 monocytic leucemia cells	Expression profiling by array	Homo sapiens	6	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60102/suppl	25482012	NA	Sami Heikkinen	Apr 26, 2015
GSE13261	Direct comparison of HES2 ESC overexpressing CD30 variant with HES2 overexpressing GFP	Expression profiling by array	Homo sapiens	6	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13261/suppl	NA	NA	Sean Grimmond	Oct 10, 2009
GSE30185	Gene expression in HEK293 cells with hSNRK-GFP or GFP	Expression profiling by array	Homo sapiens	6	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30185/suppl	NA	NA	Amy Rines	Oct 31, 2011
GSE32969	Genome-wide SNP analysis of cutaneous squamous cell carcinomas and actinic keratoses from organ transplant recipients	Genome variation profiling by SNP array;SNP genotyping by SNP array	Homo sapiens	94	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32969/suppl	23379751	NA	Harry Vrieling	Feb 06, 2013
GSE26291	Cross species hybridization of human cancer cells co-cultured with mouse astrocytes and fibroblasts (Illumina human-6)	Expression profiling by array	Homo sapiens	16	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26291/suppl	NA	NA	Sangbae Kim	Dec 31, 2012
GSE11567	GPR30-mediated estrogen signaling in Estrogen Receptor alpha and beta negative SKBR3 breast cancer cells	Expression profiling by array	Homo sapiens	12	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11567/suppl	19153601	NA	Deo Prakash Pandey	Feb 19, 2009
