Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE35102	Characterization of the transcriptome profiles related to globin gene switching during in vitro erythroid maturation	Expression profiling by array	Homo sapiens	12	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35102/suppl	NA	NA	Biaoru Li	Jan 14, 2012
GSE14427	Change in expression of genes after retinoic acid treatment of stellate cells	Expression profiling by array	Homo sapiens	41	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14427/suppl	21704588	NA	Hemant Kocher	Dec 30, 2011
GSE19790	Resolution of Type 2 Diabetes Following Bariatric Surgery is Associated with Changes in Whole Blood Gene Expression	Expression profiling by array	Homo sapiens	22	GDS3881	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19790/suppl	21423737	NA	Jonathan David Smith	Jan 06, 2011
GSE45331	Expression array analysis of myotonic dystrophy type 2 (DM2) muscle biopsies versus controls	Expression profiling by array	Homo sapiens	10	GDS5276	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45331/suppl	24907641	NA	Mark Andrew Screen	May 04, 2014
GSE27480	Gene-expression analysis of Oncostatin-M (OSM) signalling in cervical squamous cell carcinomas over-expressing the Oncostatin-M receptor (OSMR)	Expression profiling by array	Homo sapiens	72	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27480/suppl	21952923	NA	Julien Bauer	Sep 30, 2011
GSE11913	Illumina expression data from LNCaP cells overexpressing either SOX4 or GFP	Expression profiling by array	Homo sapiens	12	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11913/suppl	19147588	NA	Chris Scharer	Nov 10, 2008
GSE27682	Reprogramming Transcriptional Responses through Functionally-Distinct Classes of Enhancers in Prostate Cancer Cells [gene expression]	Expression profiling by array	Homo sapiens	12	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27682/suppl	21572438	NA	Christopher Benner	May 15, 2011
GSE24757	Genome-wide analysis of the effect of long-term freezing of PAXgene Blood RNA tubes	Expression profiling by array	Homo sapiens	24	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24757/suppl	21704280	NA	Joachim L Schultze	Jul 22, 2011
GSE19179	Gene expression profile of Serially Mixed samples of MDA-MB231 and Mouse Astrocytes	Expression profiling by array	Homo sapiens;Mus musculus	20	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19179/suppl	21987811	NA	Sangbae Kim	Sep 24, 2011
GSE18114	Osteogenic differentiation of human mesenchymal stem cells (hMSCs) within a perfusion bioreactor system	Expression profiling by array	Homo sapiens	12	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18114/suppl	NA	NA	Eijiro Maeda	Sep 16, 2009
GSE24755	Genome-wide analysis of the effect of long-term cryopreservation on peripheral blood mononuclear cells	Expression profiling by array	Homo sapiens	53	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24755/suppl	21704280	NA	Joachim L Schultze	Jul 22, 2011
GSE14295	Expression profiling of primitive neuroectodermal tumours	Expression profiling by array	Homo sapiens	47	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14295/suppl	19962671	NA	David J. H. Shih	Dec 22, 2009
GSE25906	Transcriptional Profiling of Human Placentas from Pregnancies Complicated by Preeclampsia Reveals Disregulation of Sialic Acid Acetylesterase and Immune Signaling Pathways	Expression profiling by array	Homo sapiens	60	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25906/suppl	21183218	NA	Shengdar Tsai	Dec 10, 2010
GSE17851	Genome-wide analysis of STAT6 target genes in IL-4 treated human cord blood CD4+ cells	Expression profiling by array	Homo sapiens	54	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17851/suppl	20620947	NA	Henna Kallionpää	Jun 25, 2010
GSE32628	Molecular profiling of cutaneous squamous cell carcinomas and actinic keratoses from organ transplant recipients	Expression profiling by array	Homo sapiens	42	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32628/suppl	23379751	NA	Harry Vrieling	Feb 06, 2013
