Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE16835	"Regulatory T-cell comittment is ensured by inhibition of the global gene regulator SATB1"	"Expression profiling by array"	"Homo sapiens"	10		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16835/suppl"			"Joachim Schultze"	"May 31, 2017"
GSE16990	"FOXP3-mediated inhibition of a global gene regulator is required for maintaining Treg cell commitment"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16990/suppl"			"Joachim Schultze"	"May 31, 2017"
GSE17946	"TNF dependent induction of inhibitory pathways in CD4+ T cells in HIV and LCMV [CD4+ T activation]"	"Expression profiling by array"	"Homo sapiens"	21		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17946/suppl"			"Joachim Schultze"	"Mar 07, 2016"
GSE52185	"TNF dependent induction of inhibitory pathways in CD4+ T cells in HIV and LCMV"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	82				26950238		"Joachim Schultze"	"Mar 07, 2016"
GSE55468	"Genome-wide analysis of gene expression variation in CD4+ T cells from patients with active rheumatoid arthritis (RA)."	"Expression profiling by array"	"Homo sapiens"	26		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55468/suppl"	24959711		"Toni Julià"	"May 26, 2014"
GSE40878	"Expression of the placental transcriptome in fetal growth restriction in the Baboon is Dependent on Fetal Sex"	"Expression profiling by array"	"Homo sapiens;Papio hamadryas"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40878/suppl"	24047701		"Laura L Cox"	"Dec 06, 2013"
GSE27276	"Genome-wide Expression of Trabecular Meshwork in POAG"	"Expression profiling by array"	"Homo sapiens"	36		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27276/suppl"	24003086		"Yutao Liu"	"Aug 31, 2013"
GSE29521	"Early gene expression changes in peripheral blood leukocytes with rush immunotherapy"	"Expression profiling by array"	"Homo sapiens"	13		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29521/suppl"			"Laurie S Davis"	"Dec 30, 2011"
GSE28302	"Whole genome expression array profiling highlights differences in mucosal defense genes in Barrett's esophagus and esophageal adenocarcinoma."	"Expression profiling by array"	"Homo sapiens"	54		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28302/suppl"	21829465		"Derek John Nancarrow"	"Aug 17, 2011"
GSE15390	"FOXP3-mediated inhibition of the global gene regulator SATB1 is required for maintaining regulatory T cell commitment"	"Expression profiling by array"	"Homo sapiens"	68		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15390/suppl"	21841785		"Joachim Schultze"	"Aug 14, 2011"
GSE15468	"Application of blood transcriptomics to identify three novel biomarkers for monitoring anti-TGFbeta therapy"	"Expression profiling by array"	"Homo sapiens"	22		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15468/suppl"	20084050		"Joachim Schultze"	"Jul 20, 2010"
GSE16907	"Genome-wide analysis of the effects of Power Training and Hormone Replacement Therapy on muscle properties"	"Expression profiling by array"	"Homo sapiens"	60		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16907/suppl"			"Eija Pöllänen"	"Apr 22, 2010"
GSE21221	"Identification of differentially expressed genes in fibroblasts derived from patients with Dupuytren's Contracture"	"Expression profiling by array"	"Homo sapiens"	24		"XLS"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21221/suppl"	18433489		"Latha Satish"	"Apr 16, 2010"
GSE17241	"Genome-wide analysis of SATB1 target genes in human T helper cells"	"Expression profiling by array"	"Homo sapiens"	66		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17241/suppl"	20522714		"Helena Ahlfors"	"Jan 07, 2010"
GSE18444	"Genome-wide transcriptional profiling of NF1-haploinsufficiency in human: Coriell kindred"	"Expression profiling by array"	"Homo sapiens"	18		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18444/suppl"	20307317		"Alexander Pemov"	"Nov 30, 2009"
GSE18445	"Genome-wide transcriptional profiling of NF1-haploinsufficiency in human: ECACC kindred"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18445/suppl"	20307317		"Alexander Pemov"	"Nov 30, 2009"
GSE18448	"Genome-wide transcriptional profiling of Nf1-haploinsufficiency"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	36				20307317		"Alexander Pemov"	"Nov 30, 2009"
GSE18574	"Allergen-challenged CD4+ cells from patients with seasonal allergic rhinitis"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18574/suppl"	22703998		"Mikael Benson"	"Oct 16, 2009"
GSE12051	"Microarray predictor of response to infliximab in rheumatoid arthritis (RA) patients"	"Expression profiling by array"	"Homo sapiens"	44	GDS3628	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12051/suppl"	19847310		"Toni Julià"	"Oct 02, 2009"
GSE15316	"Differential expression of rituximab responders vs. non responders on 3 different blood cell types"	"Expression profiling by array"	"Homo sapiens"	23		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15316/suppl"	19842941		"Toni Julià"	"Oct 02, 2009"
GSE12870	"Regulation of leukemic cell differentiation and retinoid-induced gene expression by statins"	"Expression profiling by array"	"Homo sapiens"	36		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12870/suppl"	19240159		"Raffaele A Calogero"	"Jan 20, 2009"
