Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE11061	"Colony Stimulating Factor 1 (CSF-1) responses in human monocyte derived macrophages"	"Expression profiling by array"	"Homo sapiens"	6	GDS3686	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11061/suppl"	19004987		"Katharine Irvine"	"Nov 14, 2008"
GSE10372	"High expression of SerpinA1 and SerpinA3 in HLA-positive cervical cell carcinomas"	"Expression profiling by array"	"Homo sapiens"	36		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10372/suppl"	18438953		"Jan Oosting"	"May 23, 2008"
GSE7471	"Gene Expression Profiles in Intracranial Arteries and Abdominal Aortae"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7471/suppl"			"Gerard Tromp"	"Apr 04, 2008"
GSE10905	"Profiling BRCA1, BRCA2 and non-BRCA1/2 LCLs post-Irradiation"	"Expression profiling by array"	"Homo sapiens"	79		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10905/suppl"	18497862		"Nic Waddell"	"Mar 21, 2008"
GSE8632	"RNA binding activity of the recessive parkinsonism protein DJ-1"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8632/suppl"	18626009		"J Raphael Gibbs"	"Mar 14, 2008"
GSE6818	"Cell response to Au nanoparticles"	"Expression profiling by array"	"Homo sapiens"	39		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6818/suppl"			"Lianghao Ding"	"Jan 20, 2008"
GSE6551	"Expression data from intracranial arteries and intracranial aneurysms"	"Expression profiling by array"	"Homo sapiens"	10		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6551/suppl"	17878320		"Gerard Tromp"	"Nov 20, 2007"
GSE8686	"Gene expression profiling in three primary human cell lines treated with atorvastatin or an inhibitor of Rho kinase"	"Expression profiling by array"	"Homo sapiens"	36	GDS2987	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8686/suppl"	18832915		"Marjan Boerma"	"Aug 23, 2007"
GSE7084	"Expression data from the abdominal aorta and abdominal aortic aneurysm"	"Expression profiling by array"	"Homo sapiens"	19	GDS2838	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7084/suppl"	17634102;21493888		"Gerard Tromp"	"Jul 26, 2007"
GSE7865	"Gene expression in undifferentiated human ES cells - Illumina"	"Expression profiling by array"	"Homo sapiens"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7865/suppl"	17597760		"Paul Tesar"	"Jun 27, 2007"
GSE7902	"Novel cell lines from mouse epiblast share defining features with human embryonic stem cells"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7902/suppl"	17597760		"Paul Tesar"	"Jun 27, 2007"
GSE6645	"Comparison of gene expression in human embyronic  stem cells grown in MEF-CM or defined media conditions"	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6645/suppl"	17761519		"Tom Schulz"	"Jun 24, 2007"
GSE7019	"Total RNA from EPC derived microvescicles"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7019/suppl"	17536014		"Raffaele A Calogero"	"Jun 06, 2007"
GSE5422	"Knock-down of three core transcription factors in hEC cells"	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5422/suppl"	17506876		"Boris Greber"	"Jun 01, 2007"
GSE5423	"H9 hES cells vs. universal RNAs"	"Expression profiling by array"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5423/suppl"	17506876		"Boris Greber"	"Jun 01, 2007"
GSE7833	"Regulation of mRNA transcript expression by hypoxia in human peripheral blood lymphocytes"	"Expression profiling by array"	"Homo sapiens"	6	GDS2951	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7833/suppl"	19008490		"Jerome Tremblay Brooks"	"May 18, 2007"
GSE7497	"Influence of TGFbeta on human resting CD4+ T cells"	"Expression profiling by array"	"Homo sapiens"	44		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7497/suppl"	17513742		"Joachim Schultze"	"May 01, 2007"
GSE6967	"Spermatozoal RNA Profiles (Human-6 BeadChip)"	"Expression profiling by array"	"Homo sapiens"	13	GDS2696	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6967/suppl"	17327269		"Stephen A Krawetz"	"Apr 27, 2007"
GSE6969	"Spermatozoal RNA Profiles from Normally Fertile and Heterogeneously Teratozoospermic Subjects"	"Expression profiling by array"	"Homo sapiens"	44		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6969/suppl"	17327269		"Stephen A Krawetz"	"Apr 27, 2007"
GSE6269	"Gene expression patterns in blood leukocytes discriminate patients with acute infections"	"Expression profiling by array"	"Homo sapiens"	143		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6269/suppl"	17105821		"Damien Chaussabel"	"Mar 16, 2007"
GSE6536	"Whole-genome gene expression variation in 210 unrelated HapMap individuals"	"Expression profiling by array"	"Homo sapiens"	480		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6536/suppl"	17289997;17873874		"Emmanouil T Dermitzakis"	"Feb 09, 2007"
GSE6627	"Identification of genes directly regulated by the oncogene ZNF217 using ChIP-chip assays (Expression Data)"	"Expression profiling by array"	"Homo sapiens"	6				17259635		"Victor X Jin"	"Jan 25, 2007"
GSE6634	"Genes Directly Regulated by the Oncogene ZNF217 Using ChIP-chip Assays on ENCODE and Promoter Arrays and Expression Data"	"Expression profiling by array;Genome binding/occupancy profiling by genome tiling array"	"Homo sapiens"	43		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6634/suppl"	17259635		"Victor X Jin"	"Jan 25, 2007"
GSE6374	"Lymphoblastoid cell lines of families with Mitochondrial Myopathy and Sideroblastic Anemia"	"Expression profiling by array"	"Homo sapiens"	15		"CSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE6nnn/GSE6374/suppl"	17374500		"Yelena Bykhovskaya"	"Nov 29, 2006"
GSE5350	"MicroArray Quality Control (MAQC) Project"	"Expression profiling by array;Expression profiling by RT-PCR"	"Homo sapiens;Rattus norvegicus"	943		"CEL;CSV;GPR;LSR;PDF;TXT;ZIP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5350/suppl"	16964229;20946593;25150837;25633159		"Leming Shi"	"Sep 08, 2006"
GSE5095	"MT1-MMP induces malignant transformation in Mammary cells"	"Expression profiling by array"	"Homo sapiens"	6				17079467		"Roy M Williams"	"Jun 21, 2006"
GSE3188	"Hypoxic regulation of gene expression is dominated by the HIF system and can be mimicked by DMOG"	"Expression profiling by array"	"Homo sapiens"	39	GDS2758;GDS2759;GDS2760;GDS2761			16565084		"Ioannis Ragoussis"	"Dec 01, 2005"
