Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE23898	"Gene expression changes in neonatal and adult myeloid dendritic cells (mDC) upon TLR7/8 stimulation"	"Expression profiling by array"	"Homo sapiens"	36		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23898/suppl"			"Edgardo Fortuno III"	"Dec 21, 2017"
GSE23932	"Gene expression changes in neonatal and adult plasmacytoid dendritic cells (pDC) upon TLR7/8 stimulation"	"Expression profiling by array"	"Homo sapiens"	36		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23932/suppl"			"Edgardo Fortuno III"	"Dec 21, 2017"
GSE70053	"PHGR1 knockdown in the colorectal cell line HT29"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70053/suppl"			"Oddmund Nordgard"	"Oct 01, 2016"
GSE46932	"Half-Half experiments"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46932/suppl"			"Joshua Stevens"	"May 12, 2016"
GSE67057	"Differences in the transcriptomic response of human adult and neonatal dendritic cell subsets to TLR7/8 stimulation"	"Expression profiling by array"	"Homo sapiens"	72		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67057/suppl"			"Kathleen Wee"	"Jun 30, 2015"
GSE60102	"Vitamin D receptor (VDR) target genes in THP-1 monocytic leucemia cells"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60102/suppl"	25482012		"Sami Heikkinen"	"Apr 26, 2015"
GSE47063	"5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer [ExpressionArray]"	"Expression profiling by array"	"Homo sapiens"	25		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47063/suppl"	25853800		"Chandra Chilamakuri"	"Feb 03, 2015"
GSE47592	"5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer"	"Expression profiling by array;Methylation profiling by array;Methylation profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	137		"BED"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47592/suppl"	25853800		"Chandra Chilamakuri"	"Feb 03, 2015"
GSE34198	"Determinants of excess genetic risk of acute myocardial infarction – a matched case-control study"	"Expression profiling by array"	"Homo sapiens"	97		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34198/suppl"			"Michal Kolář"	"Dec 05, 2014"
GSE59295	"FACS–array profiling of helper T cell subtypes from human peripheral blood."	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59295/suppl"			"Chiaki Ono"	"Nov 13, 2014"
