Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE14296	"Genotype and expression profiling of primitive neuroectodermal tumours"	"Genome variation profiling by SNP array;Expression profiling by array"	"Homo sapiens"	116		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14296/suppl"	19962671		"David J. H. Shih"	"Dec 22, 2009"
GSE19274	"Expression profiling in Neuroblastoma Primary tumors and Cell lines"	"Expression profiling by array"	"Homo sapiens"	138		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19274/suppl"	21289283		"Jayanti Jagannathan"	"Dec 03, 2009"
GSE13255	"Gene Expression Profiles in Peripheral Blood Mononuclear Cells Can Distinguish Patients with NonSmall Cell Lung Cancer."	"Expression profiling by array"	"Homo sapiens"	291		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13255/suppl"	19951989		"Louise C Showe"	"Dec 01, 2009"
GSE10241	"A Global Genomic View of MIF Knockdown Cell"	"Expression profiling by array"	"Homo sapiens"	4	GDS3626	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10241/suppl"	18469521		"Lingfeng Liu"	"Nov 03, 2009"
GSE10080	"IL-23 100ng/ml Treatment of CD3 CD28 Stimulated PBMCs"	"Expression profiling by array"	"Homo sapiens"	12		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10080/suppl"			"Graham Heap"	"Oct 10, 2009"
GSE13261	"Direct comparison of HES2 ESC overexpressing CD30 variant with HES2 overexpressing GFP"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13261/suppl"			"Sean Grimmond"	"Oct 10, 2009"
GSE13201	"HES2 embryonic stem cells (ESCs) grown in standard conditions and FACs sorted for GCTM-2 and CD9"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13201/suppl"	19650036		"Sean Grimmond"	"Oct 01, 2009"
GSE13877	"ESC (HES2, MEL1 or H9) grown in various conditions and FACs sorted for GCTM-2 and CD9"	"Expression profiling by array"	"Homo sapiens"	36		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13877/suppl"	19650036		"Sean Grimmond"	"Oct 01, 2009"
GSE14037	"Membrane-polysome associated fractionation of HES2 embryonic stem cells"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14037/suppl"	19650036		"Sean Grimmond"	"Oct 01, 2009"
GSE18114	"Osteogenic differentiation of human mesenchymal stem cells (hMSCs) within a perfusion bioreactor system"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18114/suppl"			"Eijiro Maeda"	"Sep 16, 2009"
GSE15573	"Immunity and Defense Genes in Peripheral Blood Mononuclear Cells of Rheumatoid Arthritis patients"	"Expression profiling by array"	"Homo sapiens"	33	GDS3794	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15573/suppl"	19710928		"Robert Olaso"	"Sep 03, 2009"
GSE17043	"Molecular and functional characterization of FD-iPSC derived neural crest precursor cells"	"Expression profiling by array"	"Homo sapiens"	18		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17043/suppl"	19693009		"Agnes Viale"	"Aug 31, 2009"
GSE14847	"The effect of miRNA overexpression on gene expression profile of MCF-7 cells"	"Expression profiling by array"	"Homo sapiens"	11		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14847/suppl"	19684618		"Pekka Juhani Kohonen"	"Aug 18, 2009"
GSE17516	"Orthotopic Xenograft Model of Ependymoma that Maintains Genomic Signature of the Primary Tumor"	"Expression profiling by array"	"Homo sapiens"	18		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17516/suppl"	20511191		"Hon-chiu Eastwood Leung"	"Aug 08, 2009"
GSE14786	"Gene expression analysis of cancer-related fatigue in whole blood from breast cancer survivors"	"Expression profiling by array"	"Homo sapiens"	319		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14786/suppl"	19546881		"Hege Landmark-Høyvik"	"Jul 01, 2009"
GSE14794	"Genome-wide Transcriptional Profiling Reveals MicroRNA-correlated Genes and Pathways in Human Lymphoblastoid Cell Lines"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	180		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14794/suppl"	19517021		"LIANG WANG"	"Jun 25, 2009"
GSE15723	"Gene profile in H1299 cells treated with PTD-DRBD GAPDH siRNA or treated with Lipofection GAPDH siRNA"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15723/suppl"	19448630		"Steven Dowdy"	"May 22, 2009"
GSE15505	"Expression of cyclophilin B is associated with malignant progression and regulation of genes"	"Expression profiling by array"	"Homo sapiens"	12				19056847;20237142		"Feng Fang"	"Apr 03, 2009"
GSE15200	"Effects of DZNep and 5-Aza-CdR on gene expression in MCF7 cells after 72 h treatment"	"Expression profiling by array"	"Homo sapiens"	6		"CSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15200/suppl"	19509260		"Tina Miranda"	"Mar 24, 2009"
GSE15221	"Malaria primes the innate immune response due to IFNg induced enhancement of Toll-like receptor expression and function."	"Expression profiling by array"	"Homo sapiens"	28		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15221/suppl"	19297619;21820332		"Harry Björkbacka"	"Mar 14, 2009"
GSE11567	"GPR30-mediated estrogen signaling in Estrogen Receptor alpha and beta negative SKBR3 breast cancer cells"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11567/suppl"	19153601		"Deo Prakash Pandey"	"Feb 19, 2009"
GSE12243	"Microvesicles derived from human mesenchymal stem cells protect against acute tubular injury"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12243/suppl"	19389847;20668554		"Raffaele A Calogero"	"Jan 20, 2009"
GSE14428	"Physiological defects associated with short hairpin RNA-mediated silencing of PGC-1-related coactivator (PRC)"	"Expression profiling by array"	"Homo sapiens"	12	GDS3531;GDS3532			19036724		"Richard C Scarpulla"	"Jan 16, 2009"
GSE11913	"Illumina expression data from LNCaP cells overexpressing either SOX4 or GFP"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11913/suppl"	19147588		"Chris Scharer"	"Nov 10, 2008"
GSE11915	"SOX4 effect on LNCaP prostate cancer cells"	"Expression profiling by array;Genome binding/occupancy profiling by genome tiling array"	"Homo sapiens"	34		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11915/suppl"	19147588		"Chris Scharer"	"Nov 10, 2008"
GSE12215	"Identification of transformation-related pathways in a breast epithelial cell model using a ribonomics approach."	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12215/suppl"	18829526		"Kevin G Becker"	"Jul 29, 2008"
GSE10842	"Tumor Liver vs Normal Liver: ChIP-chip and RNA expression"	"Expression profiling by genome tiling array"	"Homo sapiens"	45		"CSV;IDAT;LOCS;TIFF;TXT;XML"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10842/suppl"	18413731		"Mark Bieda"	"Jun 04, 2008"
